id,name,genres_first,has_remaster,target,age_classif,games_developed,has_parents,games_published,continent_name,onlinecoop,onlinecoopmax,onlinemax,splitscreen,classic_console,less_common_portable_console,mobile,modern_console,others,pc,portable_console,unknown_platforms_name,vr,battle_royale,co_operative,massively_multiplayer_online_mmo,multiplayer,single_player,split_screen,unknown_game_mode,auditory,bird_view_slash_isometric,first_person,side_view,text,third_person,unknown_player_perspectives,virtual_reality,has_global_launch
77455,Gift from the Gods,adventure,0,0,No Rating,22.0,0.0,-1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
77460,Gilligan's Gold,platform,0,0,No Rating,76.0,1.0,182.0,Europe,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
79257,The Machine,visual-novel,0,0,No Rating,3.0,0.0,-1.0,North America,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
81680,Mr. Prepper,role-playing-rpg,0,1,15+,-1.0,0.0,42.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
83014,Swordia,role-playing-rpg,0,0,No Rating,4.0,0.0,3.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
83266,Caterpilla,arcade,0,0,No Rating,76.0,1.0,182.0,Europe,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
84104,Echo,indie,0,0,No Rating,1.0,0.0,1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
84922,Clone Hero,music,0,1,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
86187,Grimoire,indie,0,0,No Rating,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
87661,Run Sausage Run!,arcade,0,1,16+,10.0,0.0,4.0,Unknown,0.0,,,1.0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
88203,Basketball Trivia,quiz-trivia,0,0,No Rating,30.0,0.0,30.0,Unknown,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
89438,Silenced: The House,adventure,0,1,18+,,,,,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
91145,What Would You Choose? Rather,quiz-trivia,0,1,12+,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91160,Hidden Paws,adventure,0,1,3+,4.0,0.0,4.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
91325,Aquarium.,visual-novel,0,0,16+,24.0,0.0,185.0,Asia,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91640,Tower,adventure,0,0,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
93058,Pimania,adventure,0,0,No Rating,3.0,0.0,8.0,Unknown,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
93962,Fight 'N' Jokes,indie,0,0,12+,-1.0,0.0,2.0,Oceania,0.0,,2.0,0.0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
94098,Slendrina: The Cellar,arcade,0,0,12+,12.0,0.0,12.0,Europe,0.0,,,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
95083,Bearsus,indie,0,0,No Rating,1.0,0.0,-1.0,Unknown,0.0,,,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
97423,Daigaku Gurashi,role-playing-rpg,0,0,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
99634,"Honey, I Joined a Cult",strategy,0,0,12+,1.0,0.0,-1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
100418,Star Valor,role-playing-rpg,0,1,No Rating,1.0,0.0,1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
100556,Yoiyami Dancers,shooter,0,0,All Ages,4.0,0.0,4.0,Asia,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
102028,Siege Hero: Pirate Pillage,arcade,0,0,No Rating,3.0,0.0,-1.0,Unknown,,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
102868,World War 3,shooter,0,1,18+,1.0,0.0,3.0,Asia,0.0,,64.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
102984,Moonbase Down,strategy,0,0,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
103637,BrawlQuest,role-playing-rpg,0,0,No Rating,1.0,0.0,1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
104512,Lost Amulets: Mystic Land,unknown_genres_name,0,0,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
105594,Occupy White Walls,simulator,0,1,No Rating,1.0,0.0,1.0,Unknown,1.0,,,0.0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1
105687,Waveform Wipeout,indie,0,0,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
105848,3D Bowling Master,sport,0,0,All Ages,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
106051,The Sports Trivia Challenge,quiz-trivia,0,0,3+,30.0,0.0,30.0,Unknown,,,,,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
106789,Radirgy Swag,arcade,0,0,12+,5.0,0.0,1.0,Unknown,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
106894,The Music Trivia Challenge,quiz-trivia,0,0,3+,30.0,0.0,30.0,Unknown,,,,,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
107204,Source of Madness,role-playing-rpg,0,0,12+,3.0,0.0,-1.0,Europe,,,,,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
107211,The Waylanders,strategy,0,0,No Rating,1.0,0.0,1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
107754,Good Company,strategy,0,1,All Ages,5.0,0.0,5.0,Europe,,,,,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1
107968,Never Breakup,strategy,0,0,3+,1.0,0.0,31.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
108297,Epic Battle Fantasy 5,strategy,0,1,12+,11.0,0.0,8.0,Unknown,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
109068,Quaver,music,0,1,No Rating,1.0,0.0,1.0,Unknown,0.0,,16.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
109148,Unheard,role-playing-rpg,0,1,18+,5.0,0.0,4.0,Asia,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
109789,Offside,sport,0,0,No Rating,3.0,0.0,8.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
110164,DreadOut 2,adventure,0,1,18+,7.0,0.0,7.0,Asia,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
112454,Gigabuster,indie,0,0,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
112514,Falling Plus,arcade,0,0,3+,2.0,0.0,3.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
112778,Groove Gunner,music,0,0,No Rating,2.0,0.0,2.0,North America,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
113053,King of Retail,simulator,0,1,All Ages,1.0,0.0,-1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
113363,Snowtopia: Ski Resort Builder,strategy,0,0,All Ages,1.0,0.0,1.0,Europe,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
113758,Alchemy Garden,strategy,0,1,3+,1.0,0.0,1.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
113861,Insomnis,adventure,0,0,18+,2.0,0.0,-1.0,Europe,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
114058,Totally Reliable Delivery Service,racing,0,1,10+,4.0,0.0,116.0,North America,1.0,4.0,,1.0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
114493,Winkeltje: The Little Shop,strategy,0,1,6+,2.0,0.0,1.0,Europe,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
